k,mean accuracy,mean log loss
466,0.8707584,0.15038535
467,0.8705653,0.15077317
468,0.8707584,0.15144421
469,0.8705654,0.151844
470,0.8705654,0.15236562
471,0.8705654,0.15287024
472,0.8705654,0.15340802
473,0.8705654,0.15393165
474,0.8705654,0.15446948
475,0.8703723,0.1548702
476,0.86979467,0.15500626
477,0.86979467,0.1555533
478,0.86979467,0.15608183
479,0.86979467,0.15659776
480,0.86998767,0.15725358
481,0.86979467,0.15765682
482,0.86960155,0.15807985
483,0.86960155,0.158606
484,0.8692155,0.1588574
485,0.8692155,0.15936175
486,0.8696016,0.16015695
487,0.8694085,0.1605242
488,0.86979467,0.16131833
489,0.8696016,0.16170384
490,0.8696016,0.16221616
491,0.8692155,0.16246603
492,0.8690225,0.16284366
493,0.8690225,0.16334543
494,0.86921537,0.16398785
495,0.8694085,0.16463366
496,0.86960155,0.16526411
497,0.86960155,0.16577563
498,0.86960155,0.16628024
499,0.86960155,0.16682196
500,0.8694085,0.16720544
501,0.8694085,0.16772161
502,0.86882937,0.16784813
503,0.86902237,0.16846535
504,0.8690225,0.16895187
505,0.86902237,0.1694313
506,0.8686363,0.16968171
507,0.8686363,0.1701624
508,0.86882937,0.17078808
509,0.86902237,0.17141059
510,0.8684448,0.17150654
511,0.86883086,0.17227106
512,0.8684448,0.17250827
513,0.86863786,0.17318025
514,0.86767256,0.17301263
515,0.8672865,0.17325868
516,0.86342543,0.17111275
517,0.86323243,0.17149736
518,0.8630393,0.17186289
519,0.8630393,0.17239049
520,0.86246026,0.17255421
521,0.86246026,0.17308097
522,0.8589853,0.17117874
523,0.8589853,0.17171776
524,0.8587923,0.17210938
525,0.8587922,0.17266014
526,0.8564727,0.17159443
527,0.8566658,0.1722622
528,0.8489438,0.16746329
529,0.84836465,0.16758935
530,0.8445037,0.16544417
531,0.8445037,0.16597816
532,0.84392893,0.1660991
533,0.8443135,0.16691218
534,0.8412277,0.16531514
535,0.84122765,0.16587412
536,0.84065294,0.16607152
537,0.84065294,0.16663007
538,0.84085196,0.16731654
539,0.84085196,0.16788015
540,0.83834076,0.16671228
541,0.83853376,0.1674546
542,0.83776015,0.16752005
543,0.83776015,0.16809888
544,0.8381462,0.16899852
545,0.8379532,0.16953452
546,0.8371824,0.16960871
547,0.83737403,0.1704325
548,0.83563805,0.1698762
549,0.83563805,0.17047389
550,0.83467436,0.17036906
551,0.83467275,0.17098644
552,0.8342867,0.17137274
553,0.8342867,0.17204706
554,0.833712,0.17222087
555,0.833712,0.17296948
556,0.8331388,0.17314179
557,0.8331388,0.17381625
558,0.8333319,0.17462054
559,0.8333319,0.17529503
560,0.8331418,0.17584011
561,0.8331418,0.17648987
562,0.83276016,0.17691544
563,0.83276016,0.17759448
564,0.83237696,0.17795788
565,0.83237696,0.1786131
566,0.8314117,0.17859045
567,0.8314117,0.17918245
568,0.828905,0.17805997
569,0.828905,0.17868264
570,0.82641315,0.17767075
571,0.82641315,0.17827502
572,0.82390344,0.17718033
573,0.8240965,0.17794731
574,0.8223605,0.17731984
575,0.8223605,0.17791337
576,0.82062304,0.17727692
577,0.82062304,0.17790137
578,0.8188856,0.17727917
579,0.8190786,0.17796083
580,0.81328726,0.17451179
581,0.81328726,0.17504914
582,0.81251496,0.17505798
583,0.81251496,0.17557336
584,0.8109706,0.17501374
585,0.8109706,0.17555554
586,0.80981237,0.17530169
587,0.80981237,0.17581719
588,0.80884707,0.17568061
589,0.80884707,0.17620313
590,0.80402076,0.17337452
591,0.80402076,0.17388615
592,0.80344164,0.1739833
593,0.80344164,0.1744759
594,0.8032486,0.17483231
595,0.8032486,0.17533344
596,0.80286247,0.17555663
597,0.80286247,0.17603107
598,0.8017027,0.17570339
599,0.8017027,0.17619985
600,0.8013166,0.17639504
601,0.8013166,0.17689653
602,0.80112344,0.17728692
603,0.80112344,0.17778055
604,0.80112344,0.17826663
605,0.80112344,0.1787653
606,0.8009304,0.17914799
607,0.8009304,0.17963617
608,0.8011236,0.18026952
609,0.8011236,0.18076737
610,0.8011236,0.18123457
611,0.8011236,0.18169032
612,0.8013166,0.18229297
613,0.8013166,0.18276015
614,0.8013166,0.18322256
615,0.8013166,0.183699
616,0.8013166,0.18414174
617,0.8013166,0.18455756
618,0.8009304,0.1847095
619,0.8009304,0.18509454
620,0.8007374,0.18536343
621,0.8007374,0.18575653
622,0.8007374,0.18614694
623,0.8007374,0.18653923
624,0.8007374,0.18692048
625,0.8007374,0.18731855
626,0.80092907,0.18783882
627,0.80092907,0.18822727
628,0.80092907,0.18864378
629,0.80092907,0.18904139
630,0.80112207,0.18959704
631,0.80112207,0.19001146
632,0.8003499,0.1898645
633,0.8003499,0.19026208
634,0.8003499,0.19068386
635,0.8003499,0.19111791
636,0.80054295,0.1916839
637,0.80054295,0.19210057
638,0.80073595,0.19269025
639,0.80073595,0.19315037
640,0.8009275,0.19370961
641,0.8009275,0.19417495
642,0.8009275,0.19465847
643,0.8009275,0.19512479
644,0.8009275,0.19560005
645,0.8009275,0.19608015
646,0.8013137,0.1968324
647,0.8013137,0.19730005
648,0.80169976,0.19802257
649,0.80169976,0.19848552
650,0.8015067,0.1988058
651,0.8015067,0.19925486
652,0.80169976,0.19979833
653,0.80169976,0.20026729
654,0.80169976,0.20075937
655,0.80169976,0.2012091
656,0.80189276,0.20178124
657,0.80189276,0.20218007
658,0.80189276,0.20260194
659,0.80189276,0.20303412
660,0.8020859,0.20361176
661,0.80189276,0.20388892
662,0.8018913,0.20429921
663,0.8018913,0.2046887
664,0.8020829,0.20523055
665,0.8020829,0.20565233
666,0.8016968,0.20579274
667,0.8016968,0.20618132
668,0.8018899,0.20670745
669,0.8018899,0.20708382
670,0.8020829,0.20761624
671,0.8020829,0.20801702
672,0.8020829,0.20837936
673,0.8020829,0.20875578
674,0.8024691,0.20940904
675,0.8024691,0.20979004
676,0.8026621,0.210322
677,0.8026621,0.2106909
678,0.8026621,0.21106803
679,0.8026621,0.21144898
680,0.80285513,0.21194685
681,0.80285513,0.21232481
682,0.80285513,0.21269879
683,0.80285513,0.21306804
684,0.8026621,0.21330109
685,0.8026621,0.21367781
686,0.80285513,0.21417399
687,0.80304813,0.21466549
688,0.80285513,0.21489687
689,0.80285513,0.21525101
690,0.80285513,0.21559718
691,0.80285513,0.21592104
692,0.802662,0.21614018
693,0.802662,0.21647055
694,0.802662,0.21681659
695,0.802662,0.2171568
696,0.80266345,0.21752398
697,0.80266345,0.21786436
698,0.80285656,0.21835902
699,0.80304956,0.218854
700,0.80285656,0.21906595
701,0.80285656,0.2194244
702,0.8026635,0.21964893
703,0.8026635,0.22000091
704,0.8026635,0.22035468
705,0.80285656,0.22084193
706,0.8024704,0.22095267
707,0.8024704,0.22132352
708,0.80246896,0.22169185
709,0.80246896,0.22205427
710,0.80227596,0.22228512
711,0.80246896,0.22279148
712,0.8016968,0.22262657
713,0.80208284,0.22325656
714,0.8013136,0.22308473
715,0.8013136,0.22344998
716,0.8011206,0.22370508
717,0.8011206,0.2240695
718,0.8007344,0.22417744
719,0.8009275,0.22470744
720,0.8007345,0.22494762
721,0.8007345,0.22533962
722,0.8011206,0.22597894
723,0.8013136,0.22649932
724,0.8001583,0.22608776
725,0.8001583,0.22646968
726,0.7993876,0.22633362
727,0.7993876,0.22670558
728,0.7976575,0.22587156
729,0.7976575,0.22624782
730,0.7972714,0.22634475
731,0.7972714,0.22670753
732,0.79553545,0.22588345
733,0.79572845,0.22639887
734,0.79495627,0.22623987
735,0.79495627,0.22660115
736,0.7939925,0.22629936
737,0.7941855,0.22679503
738,0.7939926,0.22703174
739,0.7939926,0.22741124
740,0.79206204,0.22644067
741,0.79186904,0.22666733
742,0.79128987,0.22663382
743,0.79128987,0.22701028
744,0.7905191,0.2268546
745,0.7907121,0.22734208
746,0.7895538,0.22689553
747,0.7897469,0.22740455
748,0.7891692,0.22736692
749,0.7895553,0.22798726
750,0.78897613,0.22792193
751,0.78897613,0.22830316
752,0.788397,0.2282724
753,0.788397,0.22863957
754,0.7872387,0.22819653
755,0.7874318,0.22870067
756,0.7874318,0.22905871
757,0.7874318,0.2293993
758,0.7868526,0.22934644
759,0.7868526,0.2296722
760,0.7866596,0.22988161
761,0.7866596,0.23022182
762,0.78646654,0.2304043
763,0.78646654,0.23073919
764,0.7862735,0.23092929
765,0.7862735,0.2312572
766,0.78627354,0.23159043
767,0.78627354,0.2319303
768,0.7855013,0.23177317
769,0.7855013,0.23211738
770,0.7851151,0.2322061
771,0.7851151,0.23254791
772,0.7849221,0.23275852
773,0.7851151,0.23321739
774,0.784343,0.23301771
775,0.784343,0.23333979
776,0.7839584,0.23341691
777,0.7839584,0.23374608
778,0.7831861,0.23355179
779,0.7831861,0.23389015
780,0.78318465,0.2342231
781,0.78318465,0.23452751
782,0.7816403,0.23378666
783,0.78202635,0.23437884
784,0.77970827,0.23310769
785,0.77970827,0.23345199
786,0.77661943,0.23164876
787,0.77642643,0.23185162
788,0.77314746,0.22988805
789,0.77353215,0.23048718
790,0.76948404,0.22800055
791,0.76967704,0.22843805
792,0.7675653,0.22728996
793,0.7677583,0.22772625
794,0.7658294,0.22670177
795,0.7662155,0.22728118
796,0.7654477,0.22705713
797,0.76563925,0.22750075
798,0.7639093,0.22659302
799,0.76429534,0.22715083
800,0.76179016,0.22569306
801,0.7619832,0.22613558
802,0.75928193,0.22456186
803,0.7594735,0.22499911
804,0.75580704,0.22273806
805,0.7558085,0.22303966
806,0.751753,0.22052345
807,0.751753,0.22081406
808,0.7492448,0.21936114
809,0.7494378,0.21977672
810,0.74808645,0.21915726
811,0.74808645,0.21945997
812,0.74654365,0.21867351
813,0.74654365,0.21896096
814,0.74615306,0.21899799
815,0.7459615,0.21916075
816,0.74384534,0.21800113
817,0.7440384,0.21842062
818,0.7415273,0.21698546
819,0.7417218,0.21741812
820,0.73998433,0.21653028
821,0.7397913,0.216696
822,0.740562,0.21754837
823,0.74036896,0.21773711
824,0.7405621,0.21817882
825,0.7405621,0.21846727
826,0.73921204,0.21782327
827,0.73921204,0.21808918
828,0.73940516,0.21847305
829,0.73921204,0.2186244
830,0.7378608,0.21795087
831,0.73766774,0.21809211
832,0.7374747,0.21825902
833,0.7374747,0.21855529
834,0.73786074,0.21909773
835,0.7376677,0.21926694
836,0.7376677,0.21957529
837,0.7372816,0.21960998
838,0.7378608,0.22029254
839,0.7378608,0.22059985
840,0.738633,0.22143099
841,0.7380538,0.22130096
842,0.73921216,0.22240429
843,0.73901904,0.22254395
844,0.73901904,0.22282366
845,0.738633,0.22282574
846,0.7382468,0.22282258
847,0.7380538,0.22295848
848,0.7378608,0.22310822
849,0.7378608,0.22342148
850,0.73921216,0.22468503
851,0.738633,0.22456615
852,0.7419089,0.22714455
853,0.7415228,0.22719443
854,0.7440177,0.22923188
855,0.74343854,0.22912526
856,0.74421227,0.2299319
857,0.74401915,0.23009542
858,0.7438261,0.23026419
859,0.7430539,0.23001054
860,0.74421227,0.23111992
861,0.7438261,0.23115773
862,0.74672186,0.23348776
863,0.74633574,0.2335217
864,0.7482663,0.23515925
865,0.7480732,0.23533046
866,0.74903846,0.23631886
867,0.74903846,0.23660716
868,0.74903846,0.23690164
869,0.74903846,0.2371763
870,0.7492315,0.23761442
871,0.74903846,0.23775439
872,0.74903846,0.23803179
873,0.7488454,0.2381564
874,0.7488469,0.23843753
875,0.7486538,0.23858222
876,0.74923295,0.23925559
877,0.74923295,0.2395204
878,0.749426,0.23993775
879,0.74904144,0.23994632
880,0.74904144,0.24019948
881,0.74904144,0.24044795
882,0.74904144,0.24069166
883,0.7488483,0.2408127
884,0.74865526,0.2409337
885,0.74865526,0.24118729
886,0.75039274,0.24262817
887,0.75039274,0.24288034
888,0.75039274,0.2431163
889,0.7501997,0.24321656
890,0.75058573,0.24373119
891,0.75039274,0.24384475
892,0.75039274,0.24407749
893,0.75039274,0.24431655
894,0.7503913,0.24454801
895,0.7503913,0.2447815
896,0.7503913,0.24501073
897,0.7503913,0.24521041
898,0.7503913,0.24542375
899,0.7503913,0.24562867
900,0.7503913,0.24584834
901,0.7503913,0.24606863
902,0.7503913,0.24627462
903,0.7498121,0.24607916
904,0.7498121,0.24629703
905,0.749426,0.24623442
906,0.749426,0.24642512
907,0.749426,0.24660154
908,0.749426,0.24678162
909,0.749426,0.2469693
910,0.749426,0.24715531
911,0.749426,0.247359
912,0.74923295,0.24743013
