k,mean accuracy,mean log loss,start time(ms),end time(ms),Elapsed time(ms)
414,0.9401973,0.079296425,1.54E+12,1.54E+12,145878
415,0.9401973,0.07934047,1.54E+12,1.54E+12,148251
416,0.9401973,0.07938166,1.54E+12,1.54E+12,147848
417,0.9401973,0.079543255,1.54E+12,1.54E+12,160667
418,0.9403904,0.07972239,1.54E+12,1.54E+12,161183
419,0.9401973,0.07963057,1.54E+12,1.54E+12,159471
420,0.9401973,0.079676054,1.54E+12,1.54E+12,157240
421,0.9401973,0.0797133,1.54E+12,1.54E+12,149486
422,0.9400042,0.079617225,1.54E+12,1.54E+12,151361
423,0.9400042,0.07966331,1.54E+12,1.54E+12,152116
424,0.9400042,0.07970649,1.54E+12,1.54E+12,152937
425,0.9400042,0.07974978,1.54E+12,1.54E+12,150691
426,0.9400042,0.07979203,1.54E+12,1.54E+12,152613
427,0.93981266,0.07969974,1.54E+12,1.54E+12,148299
428,0.93981266,0.079739526,1.54E+12,1.54E+12,152721
429,0.93961966,0.07969395,1.54E+12,1.54E+12,152943
430,0.93961966,0.0797472,1.54E+12,1.54E+12,152219
431,0.93961966,0.07983293,1.54E+12,1.54E+12,152565
432,0.93961966,0.07993105,1.54E+12,1.54E+12,154629
433,0.93942654,0.07984565,1.54E+12,1.54E+12,152926
434,0.9392335,0.07977723,1.54E+12,1.54E+12,154814
435,0.9392335,0.07982491,1.54E+12,1.54E+12,154279
436,0.9392335,0.079892635,1.54E+12,1.54E+12,156838
437,0.9392335,0.07997811,1.54E+12,1.54E+12,156903
438,0.9392335,0.08007493,1.54E+12,1.54E+12,157421
439,0.9392335,0.08012881,1.54E+12,1.54E+12,157280
440,0.9392335,0.0801758,1.54E+12,1.54E+12,155848
441,0.9392335,0.080244586,1.54E+12,1.54E+12,156297
442,0.9392335,0.08033098,1.54E+12,1.54E+12,164325
443,0.9390405,0.080276564,1.54E+12,1.54E+12,170384
444,0.9388474,0.08022315,1.54E+12,1.54E+12,168520
445,0.9388474,0.08027236,1.54E+12,1.54E+12,167991
446,0.9388474,0.0803193,1.54E+12,1.54E+12,170202
447,0.9386543,0.08023337,1.54E+12,1.54E+12,171956
